country,Year,Age,ex
GBRTENW,1922,0,91.697406
GBRTENW,1922,1,90.78998
GBRTENW,1922,2,89.817235
GBRTENW,1922,3,88.830214
GBRTENW,1922,4,87.836538
GBRTENW,1922,5,86.840843
GBRTENW,1922,6,85.844624
GBRTENW,1922,7,84.847781
GBRTENW,1922,8,83.850307
GBRTENW,1922,9,82.852475
GBRTENW,1922,10,81.854355
GBRTENW,1922,11,80.856106
GBRTENW,1922,12,79.857838
GBRTENW,1922,13,78.85948
GBRTENW,1922,14,77.861203
GBRTENW,1922,15,76.863198
GBRTENW,1922,16,75.86527
GBRTENW,1922,17,74.867771
GBRTENW,1922,18,73.87062
GBRTENW,1922,19,72.873707
GBRTENW,1922,20,71.877121
GBRTENW,1922,21,70.880751
GBRTENW,1922,22,69.884311
GBRTENW,1922,23,68.888201
GBRTENW,1922,24,67.892019
GBRTENW,1922,25,66.896198
GBRTENW,1922,26,65.900056
GBRTENW,1922,27,64.904084
GBRTENW,1922,28,63.908209
GBRTENW,1922,29,62.912529
GBRTENW,1922,30,61.917007
GBRTENW,1922,31,60.921228
GBRTENW,1922,32,59.925715
GBRTENW,1922,33,58.930729
GBRTENW,1922,34,57.935719
GBRTENW,1922,35,56.94119
GBRTENW,1922,36,55.94678
GBRTENW,1922,37,54.952627
GBRTENW,1922,38,53.958706
GBRTENW,1922,39,52.96542
GBRTENW,1922,40,51.97239
GBRTENW,1922,41,50.979267
GBRTENW,1922,42,49.986048
GBRTENW,1922,43,48.994416
GBRTENW,1922,44,48.002426
GBRTENW,1922,45,47.010802
GBRTENW,1922,46,46.020194
GBRTENW,1922,47,45.029501
GBRTENW,1922,48,44.039476
GBRTENW,1922,49,43.05041
GBRTENW,1922,50,42.062129
GBRTENW,1922,51,41.074137
GBRTENW,1922,52,40.086356
GBRTENW,1922,53,39.101488
GBRTENW,1922,54,38.117456
GBRTENW,1922,55,37.134112
GBRTENW,1922,56,36.150974
GBRTENW,1922,57,35.170872
GBRTENW,1922,58,34.192118
GBRTENW,1922,59,33.215968
GBRTENW,1922,60,32.241436
GBRTENW,1922,61,31.266744
GBRTENW,1922,62,30.294058
GBRTENW,1922,63,29.328996
GBRTENW,1922,64,28.365535
GBRTENW,1922,65,27.405216
GBRTENW,1922,66,26.44874
GBRTENW,1922,67,25.491312
GBRTENW,1922,68,24.540085
GBRTENW,1922,69,23.596917
GBRTENW,1922,70,22.657912
GBRTENW,1922,71,21.7206
GBRTENW,1922,72,20.788089
GBRTENW,1922,73,19.873801
GBRTENW,1922,74,18.963887
GBRTENW,1922,75,18.063577
GBRTENW,1922,76,17.171698
GBRTENW,1922,77,16.284445
GBRTENW,1922,78,15.408205
GBRTENW,1922,79,14.547939
GBRTENW,1922,80,13.697045
GBRTENW,1922,81,12.854622
GBRTENW,1922,82,12.017508
GBRTENW,1922,83,11.210222
GBRTENW,1922,84,10.40845
GBRTENW,1922,85,9.636225
GBRTENW,1922,86,8.865063
GBRTENW,1922,87,8.118604
GBRTENW,1922,88,7.394172
GBRTENW,1922,89,6.674978
GBRTENW,1922,90,5.981806
GBRTENW,1922,91,5.301015
GBRTENW,1922,92,4.655667
GBRTENW,1922,93,4.054963
GBRTENW,1922,94,3.453403
GBRTENW,1922,95,2.877533
GBRTENW,1922,96,2.309069
GBRTENW,1922,97,1.816954
GBRTENW,1922,98,1.315087
GBRTENW,1922,99,0.858464
GBRTENW,1922,100,0.425789
GBRTENW,1923,0,92.102621
GBRTENW,1923,1,91.18562
GBRTENW,1923,2,90.206658
GBRTENW,1923,3,89.215042
GBRTENW,1923,4,88.220738
GBRTENW,1923,5,87.224239
GBRTENW,1923,6,86.227474
GBRTENW,1923,7,85.230156
GBRTENW,1923,8,84.232556
GBRTENW,1923,9,83.234512
GBRTENW,1923,10,82.236405
GBRTENW,1923,11,81.238075
GBRTENW,1923,12,80.239608
GBRTENW,1923,13,79.241212
GBRTENW,1923,14,78.242875
GBRTENW,1923,15,77.244706
GBRTENW,1923,16,76.246921
GBRTENW,1923,17,75.249145
GBRTENW,1923,18,74.251781
GBRTENW,1923,19,73.254709
GBRTENW,1923,20,72.257773
GBRTENW,1923,21,71.261017
GBRTENW,1923,22,70.264349
GBRTENW,1923,23,69.267723
GBRTENW,1923,24,68.271314
GBRTENW,1923,25,67.275114
GBRTENW,1923,26,66.278839
GBRTENW,1923,27,65.282584
GBRTENW,1923,28,64.286383
GBRTENW,1923,29,63.290195
GBRTENW,1923,30,62.294145
GBRTENW,1923,31,61.298025
GBRTENW,1923,32,60.301955
GBRTENW,1923,33,59.306423
GBRTENW,1923,34,58.311005
GBRTENW,1923,35,57.315474
GBRTENW,1923,36,56.320487
GBRTENW,1923,37,55.325424
GBRTENW,1923,38,54.330798
GBRTENW,1923,39,53.337087
GBRTENW,1923,40,52.343292
GBRTENW,1923,41,51.349632
GBRTENW,1923,42,50.356039
GBRTENW,1923,43,49.36352
GBRTENW,1923,44,48.371231
GBRTENW,1923,45,47.378808
GBRTENW,1923,46,46.387761
GBRTENW,1923,47,45.396987
GBRTENW,1923,48,44.406216
GBRTENW,1923,49,43.416373
GBRTENW,1923,50,42.427201
GBRTENW,1923,51,41.438873
GBRTENW,1923,52,40.449618
GBRTENW,1923,53,39.462859
GBRTENW,1923,54,38.477694
GBRTENW,1923,55,37.493715
GBRTENW,1923,56,36.509619
GBRTENW,1923,57,35.527825
GBRTENW,1923,58,34.547519
GBRTENW,1923,59,33.56977
GBRTENW,1923,60,32.593656
GBRTENW,1923,61,31.618568
GBRTENW,1923,62,30.643331
GBRTENW,1923,63,29.67393
GBRTENW,1923,64,28.708982
GBRTENW,1923,65,27.746068
GBRTENW,1923,66,26.787589
GBRTENW,1923,67,25.828211
GBRTENW,1923,68,24.871824
GBRTENW,1923,69,23.923939
GBRTENW,1923,70,22.980675
GBRTENW,1923,71,22.038831
GBRTENW,1923,72,21.098582
GBRTENW,1923,73,20.174027
GBRTENW,1923,74,19.258747
GBRTENW,1923,75,18.349514
GBRTENW,1923,76,17.446552
GBRTENW,1923,77,16.556316
GBRTENW,1923,78,15.668045
GBRTENW,1923,79,14.792744
GBRTENW,1923,80,13.926193
GBRTENW,1923,81,13.070992
GBRTENW,1923,82,12.220688
GBRTENW,1923,83,11.398034
GBRTENW,1923,84,10.586888
GBRTENW,1923,85,9.783041
GBRTENW,1923,86,9.009664
GBRTENW,1923,87,8.262013
GBRTENW,1923,88,7.526315
GBRTENW,1923,89,6.807524
GBRTENW,1923,90,6.111065
GBRTENW,1923,91,5.431852
GBRTENW,1923,92,4.738812
GBRTENW,1923,93,4.089149
GBRTENW,1923,94,3.453614
GBRTENW,1923,95,2.85597
GBRTENW,1923,96,2.278343
GBRTENW,1923,97,1.728165
GBRTENW,1923,98,1.213465
GBRTENW,1923,99,0.693277
GBRTENW,1923,100,0.323631
GBRTENW,1924,0,91.876007
GBRTENW,1924,1,90.967431
GBRTENW,1924,2,89.992926
GBRTENW,1924,3,89.00264
GBRTENW,1924,4,88.008487
GBRTENW,1924,5,87.012997
GBRTENW,1924,6,86.016388
GBRTENW,1924,7,85.019133
GBRTENW,1924,8,84.021414
GBRTENW,1924,9,83.023346
GBRTENW,1924,10,82.025133
GBRTENW,1924,11,81.026836
GBRTENW,1924,12,80.028448
GBRTENW,1924,13,79.030048
GBRTENW,1924,14,78.031827
GBRTENW,1924,15,77.033768
GBRTENW,1924,16,76.035919
GBRTENW,1924,17,75.038289
GBRTENW,1924,18,74.040887
GBRTENW,1924,19,73.043834
GBRTENW,1924,20,72.047128
GBRTENW,1924,21,71.050438
GBRTENW,1924,22,70.053868
GBRTENW,1924,23,69.057295
GBRTENW,1924,24,68.060992
GBRTENW,1924,25,67.064598
GBRTENW,1924,26,66.068063
GBRTENW,1924,27,65.071611
GBRTENW,1924,28,64.075535
GBRTENW,1924,29,63.079253
GBRTENW,1924,30,62.083096
GBRTENW,1924,31,61.087272
GBRTENW,1924,32,60.091165
GBRTENW,1924,33,59.09555
GBRTENW,1924,34,58.099908
GBRTENW,1924,35,57.10468
GBRTENW,1924,36,56.109901
GBRTENW,1924,37,55.115307
GBRTENW,1924,38,54.120859
GBRTENW,1924,39,53.126899
GBRTENW,1924,40,52.133586
GBRTENW,1924,41,51.140495
GBRTENW,1924,42,50.146931
GBRTENW,1924,43,49.154525
GBRTENW,1924,44,48.162096
GBRTENW,1924,45,47.170281
GBRTENW,1924,46,46.179242
GBRTENW,1924,47,45.188269
GBRTENW,1924,48,44.198413
GBRTENW,1924,49,43.208764
GBRTENW,1924,50,42.219994
GBRTENW,1924,51,41.232059
GBRTENW,1924,52,40.243749
GBRTENW,1924,53,39.257478
GBRTENW,1924,54,38.27178
GBRTENW,1924,55,37.288879
GBRTENW,1924,56,36.305084
GBRTENW,1924,57,35.324304
GBRTENW,1924,58,34.344246
GBRTENW,1924,59,33.366697
GBRTENW,1924,60,32.391041
GBRTENW,1924,61,31.418166
GBRTENW,1924,62,30.44469
GBRTENW,1924,63,29.475207
GBRTENW,1924,64,28.509608
GBRTENW,1924,65,27.549273
GBRTENW,1924,66,26.592363
GBRTENW,1924,67,25.634008
GBRTENW,1924,68,24.681958
GBRTENW,1924,69,23.736256
GBRTENW,1924,70,22.796133
GBRTENW,1924,71,21.86098
GBRTENW,1924,72,20.925816
GBRTENW,1924,73,20.002885
GBRTENW,1924,74,19.089953
GBRTENW,1924,75,18.189842
GBRTENW,1924,76,17.295633
GBRTENW,1924,77,16.406816
GBRTENW,1924,78,15.525626
GBRTENW,1924,79,14.658876
GBRTENW,1924,80,13.799439
GBRTENW,1924,81,12.956544
GBRTENW,1924,82,12.119743
GBRTENW,1924,83,11.306697
GBRTENW,1924,84,10.509827
GBRTENW,1924,85,9.732196
GBRTENW,1924,86,8.964962
GBRTENW,1924,87,8.219158
GBRTENW,1924,88,7.489346
GBRTENW,1924,89,6.789745
GBRTENW,1924,90,6.101369
GBRTENW,1924,91,5.419087
GBRTENW,1924,92,4.761632
GBRTENW,1924,93,4.103264
GBRTENW,1924,94,3.476762
GBRTENW,1924,95,2.84818
GBRTENW,1924,96,2.281497
GBRTENW,1924,97,1.728899
GBRTENW,1924,98,1.22141
GBRTENW,1924,99,0.853787
GBRTENW,1924,100,0.349763
GBRTENW,1925,0,91.938863
GBRTENW,1925,1,91.029688
GBRTENW,1925,2,90.053144
GBRTENW,1925,3,89.062366
GBRTENW,1925,4,88.068159
GBRTENW,1925,5,87.072459
GBRTENW,1925,6,86.076325
GBRTENW,1925,7,85.079009
GBRTENW,1925,8,84.081257
GBRTENW,1925,9,83.083332
GBRTENW,1925,10,82.085087
GBRTENW,1925,11,81.086733
GBRTENW,1925,12,80.088355
GBRTENW,1925,13,79.089983
GBRTENW,1925,14,78.091722
GBRTENW,1925,15,77.093685
GBRTENW,1925,16,76.095921
GBRTENW,1925,17,75.098385
GBRTENW,1925,18,74.101072
GBRTENW,1925,19,73.10402
GBRTENW,1925,20,72.10725
GBRTENW,1925,21,71.110601
GBRTENW,1925,22,70.113909
GBRTENW,1925,23,69.117204
GBRTENW,1925,24,68.120505
GBRTENW,1925,25,67.123956
GBRTENW,1925,26,66.127369
GBRTENW,1925,27,65.130938
GBRTENW,1925,28,64.134659
GBRTENW,1925,29,63.138415
GBRTENW,1925,30,62.142356
GBRTENW,1925,31,61.14617
GBRTENW,1925,32,60.150158
GBRTENW,1925,33,59.154408
GBRTENW,1925,34,58.158505
GBRTENW,1925,35,57.163064
GBRTENW,1925,36,56.167577
GBRTENW,1925,37,55.172426
GBRTENW,1925,38,54.177832
GBRTENW,1925,39,53.183853
GBRTENW,1925,40,52.190018
GBRTENW,1925,41,51.196865
GBRTENW,1925,42,50.20375
GBRTENW,1925,43,49.211423
GBRTENW,1925,44,48.218882
GBRTENW,1925,45,47.226886
GBRTENW,1925,46,46.235813
GBRTENW,1925,47,45.244782
GBRTENW,1925,48,44.254788
GBRTENW,1925,49,43.265045
GBRTENW,1925,50,42.27634
GBRTENW,1925,51,41.288355
GBRTENW,1925,52,40.300113
GBRTENW,1925,53,39.314098
GBRTENW,1925,54,38.328276
GBRTENW,1925,55,37.344213
GBRTENW,1925,56,36.360693
GBRTENW,1925,57,35.37902
GBRTENW,1925,58,34.398405
GBRTENW,1925,59,33.420699
GBRTENW,1925,60,32.444342
GBRTENW,1925,61,31.470469
GBRTENW,1925,62,30.497106
GBRTENW,1925,63,29.528956
GBRTENW,1925,64,28.56198
GBRTENW,1925,65,27.598651
GBRTENW,1925,66,26.642021
GBRTENW,1925,67,25.683697
GBRTENW,1925,68,24.72966
GBRTENW,1925,69,23.782227
GBRTENW,1925,70,22.840511
GBRTENW,1925,71,21.905292
GBRTENW,1925,72,20.970861
GBRTENW,1925,73,20.046922
GBRTENW,1925,74,19.131902
GBRTENW,1925,75,18.225951
GBRTENW,1925,76,17.33443
GBRTENW,1925,77,16.449121
GBRTENW,1925,78,15.567487
GBRTENW,1925,79,14.699669
GBRTENW,1925,80,13.839809
GBRTENW,1925,81,12.99567
GBRTENW,1925,82,12.153892
GBRTENW,1925,83,11.33172
GBRTENW,1925,84,10.536708
GBRTENW,1925,85,9.766321
GBRTENW,1925,86,9.008118
GBRTENW,1925,87,8.259943
GBRTENW,1925,88,7.542207
GBRTENW,1925,89,6.838156
GBRTENW,1925,90,6.154274
GBRTENW,1925,91,5.482679
GBRTENW,1925,92,4.818956
GBRTENW,1925,93,4.219156
GBRTENW,1925,94,3.626881
GBRTENW,1925,95,3.00731
GBRTENW,1925,96,2.434711
GBRTENW,1925,97,1.836895
GBRTENW,1925,98,1.324488
GBRTENW,1925,99,0.881717
GBRTENW,1925,100,0.299561
GBRTENW,1926,0,91.614053
GBRTENW,1926,1,90.699447
GBRTENW,1926,2,89.719873
GBRTENW,1926,3,88.728247
GBRTENW,1926,4,87.733202
GBRTENW,1926,5,86.737135
GBRTENW,1926,6,85.7407
GBRTENW,1926,7,84.743618
GBRTENW,1926,8,83.74581
GBRTENW,1926,9,82.747726
GBRTENW,1926,10,81.74948
GBRTENW,1926,11,80.751037
GBRTENW,1926,12,79.752576
GBRTENW,1926,13,78.754061
GBRTENW,1926,14,77.755676
GBRTENW,1926,15,76.757423
GBRTENW,1926,16,75.759469
GBRTENW,1926,17,74.761737
GBRTENW,1926,18,73.764296
GBRTENW,1926,19,72.767109
GBRTENW,1926,20,71.770124
GBRTENW,1926,21,70.773155
GBRTENW,1926,22,69.77633
GBRTENW,1926,23,68.779451
GBRTENW,1926,24,67.782591
GBRTENW,1926,25,66.785818
GBRTENW,1926,26,65.78915
GBRTENW,1926,27,64.792701
GBRTENW,1926,28,63.796391
GBRTENW,1926,29,62.799787
GBRTENW,1926,30,61.803499
GBRTENW,1926,31,60.807103
GBRTENW,1926,32,59.810747
GBRTENW,1926,33,58.814661
GBRTENW,1926,34,57.818808
GBRTENW,1926,35,56.82292
GBRTENW,1926,36,55.827375
GBRTENW,1926,37,54.832134
GBRTENW,1926,38,53.837329
GBRTENW,1926,39,52.843159
GBRTENW,1926,40,51.849048
GBRTENW,1926,41,50.855333
GBRTENW,1926,42,49.861894
GBRTENW,1926,43,48.869407
GBRTENW,1926,44,47.876551
GBRTENW,1926,45,46.884052
GBRTENW,1926,46,45.892243
GBRTENW,1926,47,44.900996
GBRTENW,1926,48,43.910286
GBRTENW,1926,49,42.920429
GBRTENW,1926,50,41.931397
GBRTENW,1926,51,40.943055
GBRTENW,1926,52,39.954757
GBRTENW,1926,53,38.967917
GBRTENW,1926,54,37.982088
GBRTENW,1926,55,36.997021
GBRTENW,1926,56,36.012511
GBRTENW,1926,57,35.031085
GBRTENW,1926,58,34.049475
GBRTENW,1926,59,33.070847
GBRTENW,1926,60,32.093487
GBRTENW,1926,61,31.118397
GBRTENW,1926,62,30.143758
GBRTENW,1926,63,29.173456
GBRTENW,1926,64,28.205965
GBRTENW,1926,65,27.240803
GBRTENW,1926,66,26.280831
GBRTENW,1926,67,25.323046
GBRTENW,1926,68,24.368833
GBRTENW,1926,69,23.420179
GBRTENW,1926,70,22.476796
GBRTENW,1926,71,21.538053
GBRTENW,1926,72,20.600638
GBRTENW,1926,73,19.675461
GBRTENW,1926,74,18.755769
GBRTENW,1926,75,17.842129
GBRTENW,1926,76,16.942549
GBRTENW,1926,77,16.056166
GBRTENW,1926,78,15.172911
GBRTENW,1926,79,14.298552
GBRTENW,1926,80,13.433141
GBRTENW,1926,81,12.578747
GBRTENW,1926,82,11.733701
GBRTENW,1926,83,10.911379
GBRTENW,1926,84,10.100297
GBRTENW,1926,85,9.314876
GBRTENW,1926,86,8.543894
GBRTENW,1926,87,7.8004
GBRTENW,1926,88,7.063217
GBRTENW,1926,89,6.3515
GBRTENW,1926,90,5.676291
GBRTENW,1926,91,5.003897
GBRTENW,1926,92,4.339358
GBRTENW,1926,93,3.731833
GBRTENW,1926,94,3.13442
GBRTENW,1926,95,2.543969
GBRTENW,1926,96,1.906116
GBRTENW,1926,97,1.372737
GBRTENW,1926,98,0.860433
GBRTENW,1926,99,0.445626
GBRTENW,1926,100,0.083462
GBRTENW,1927,0,91.481938
GBRTENW,1927,1,90.565419
GBRTENW,1927,2,89.587142
GBRTENW,1927,3,88.596208
GBRTENW,1927,4,87.60166
GBRTENW,1927,5,86.605701
GBRTENW,1927,6,85.609123
GBRTENW,1927,7,84.611714
GBRTENW,1927,8,83.614142
GBRTENW,1927,9,82.61602
GBRTENW,1927,10,81.617778
GBRTENW,1927,11,80.619466
GBRTENW,1927,12,79.620984
GBRTENW,1927,13,78.622524
GBRTENW,1927,14,77.624106
GBRTENW,1927,15,76.6259
GBRTENW,1927,16,75.628009
GBRTENW,1927,17,74.630399
GBRTENW,1927,18,73.633035
GBRTENW,1927,19,72.63597
GBRTENW,1927,20,71.638883
GBRTENW,1927,21,70.642118
GBRTENW,1927,22,69.645484
GBRTENW,1927,23,68.648845
GBRTENW,1927,24,67.652106
GBRTENW,1927,25,66.655462
GBRTENW,1927,26,65.658886
GBRTENW,1927,27,64.662418
GBRTENW,1927,28,63.666073
GBRTENW,1927,29,62.669675
GBRTENW,1927,30,61.673399
GBRTENW,1927,31,60.677327
GBRTENW,1927,32,59.681077
GBRTENW,1927,33,58.685072
GBRTENW,1927,34,57.689262
GBRTENW,1927,35,56.693679
GBRTENW,1927,36,55.698675
GBRTENW,1927,37,54.70376
GBRTENW,1927,38,53.709369
GBRTENW,1927,39,52.715358
GBRTENW,1927,40,51.721777
GBRTENW,1927,41,50.728762
GBRTENW,1927,42,49.735564
GBRTENW,1927,43,48.743523
GBRTENW,1927,44,47.751636
GBRTENW,1927,45,46.759751
GBRTENW,1927,46,45.768539
GBRTENW,1927,47,44.777897
GBRTENW,1927,48,43.788188
GBRTENW,1927,49,42.798818
GBRTENW,1927,50,41.810502
GBRTENW,1927,51,40.822745
GBRTENW,1927,52,39.834745
GBRTENW,1927,53,38.848973
GBRTENW,1927,54,37.864026
GBRTENW,1927,55,36.880109
GBRTENW,1927,56,35.895881
GBRTENW,1927,57,34.91442
GBRTENW,1927,58,33.934636
GBRTENW,1927,59,32.956907
GBRTENW,1927,60,31.980927
GBRTENW,1927,61,31.006895
GBRTENW,1927,62,30.033093
GBRTENW,1927,63,29.064534
GBRTENW,1927,64,28.098468
GBRTENW,1927,65,27.136095
GBRTENW,1927,66,26.177757
GBRTENW,1927,67,25.219473
GBRTENW,1927,68,24.267411
GBRTENW,1927,69,23.321224
GBRTENW,1927,70,22.381985
GBRTENW,1927,71,21.447193
GBRTENW,1927,72,20.512735
GBRTENW,1927,73,19.593969
GBRTENW,1927,74,18.683633
GBRTENW,1927,75,17.779805
GBRTENW,1927,76,16.882528
GBRTENW,1927,77,16.002692
GBRTENW,1927,78,15.127427
GBRTENW,1927,79,14.263969
GBRTENW,1927,80,13.410906
GBRTENW,1927,81,12.567954
GBRTENW,1927,82,11.728297
GBRTENW,1927,83,10.922409
GBRTENW,1927,84,10.129858
GBRTENW,1927,85,9.360415
GBRTENW,1927,86,8.599608
GBRTENW,1927,87,7.884332
GBRTENW,1927,88,7.177647
GBRTENW,1927,89,6.47937
GBRTENW,1927,90,5.812045
GBRTENW,1927,91,5.137876
GBRTENW,1927,92,4.484476
GBRTENW,1927,93,3.829614
GBRTENW,1927,94,3.230997
GBRTENW,1927,95,2.688788
GBRTENW,1927,96,2.045124
GBRTENW,1927,97,1.590517
GBRTENW,1927,98,1.155651
GBRTENW,1927,99,0.664123
GBRTENW,1927,100,0.268082
GBRTENW,1928,0,91.997462
GBRTENW,1928,1,91.078845
GBRTENW,1928,2,90.097761
GBRTENW,1928,3,89.105672
GBRTENW,1928,4,88.110491
GBRTENW,1928,5,87.114219
GBRTENW,1928,6,86.117638
GBRTENW,1928,7,85.120289
GBRTENW,1928,8,84.122537
GBRTENW,1928,9,83.124651
GBRTENW,1928,10,82.126382
GBRTENW,1928,11,81.128146
GBRTENW,1928,12,80.129838
GBRTENW,1928,13,79.131462
GBRTENW,1928,14,78.133149
GBRTENW,1928,15,77.134959
GBRTENW,1928,16,76.136976
GBRTENW,1928,17,75.139409
GBRTENW,1928,18,74.14219
GBRTENW,1928,19,73.145229
GBRTENW,1928,20,72.148283
GBRTENW,1928,21,71.151424
GBRTENW,1928,22,70.154706
GBRTENW,1928,23,69.157819
GBRTENW,1928,24,68.161117
GBRTENW,1928,25,67.164516
GBRTENW,1928,26,66.167656
GBRTENW,1928,27,65.170924
GBRTENW,1928,28,64.17435
GBRTENW,1928,29,63.177785
GBRTENW,1928,30,62.181334
GBRTENW,1928,31,61.185158
GBRTENW,1928,32,60.189023
GBRTENW,1928,33,59.193091
GBRTENW,1928,34,58.197242
GBRTENW,1928,35,57.201657
GBRTENW,1928,36,56.206153
GBRTENW,1928,37,55.210793
GBRTENW,1928,38,54.215847
GBRTENW,1928,39,53.221239
GBRTENW,1928,40,52.227235
GBRTENW,1928,41,51.23338
GBRTENW,1928,42,50.239625
GBRTENW,1928,43,49.247019
GBRTENW,1928,44,48.254439
GBRTENW,1928,45,47.262156
GBRTENW,1928,46,46.270372
GBRTENW,1928,47,45.278661
GBRTENW,1928,48,44.287834
GBRTENW,1928,49,43.298247
GBRTENW,1928,50,42.309126
GBRTENW,1928,51,41.320636
GBRTENW,1928,52,40.332444
GBRTENW,1928,53,39.345784
GBRTENW,1928,54,38.360022
GBRTENW,1928,55,37.375469
GBRTENW,1928,56,36.390572
GBRTENW,1928,57,35.407799
GBRTENW,1928,58,34.426741
GBRTENW,1928,59,33.448663
GBRTENW,1928,60,32.471629
GBRTENW,1928,61,31.496219
GBRTENW,1928,62,30.521805
GBRTENW,1928,63,29.55074
GBRTENW,1928,64,28.584197
GBRTENW,1928,65,27.620496
GBRTENW,1928,66,26.662889
GBRTENW,1928,67,25.70267
GBRTENW,1928,68,24.747041
GBRTENW,1928,69,23.799612
GBRTENW,1928,70,22.85662
GBRTENW,1928,71,21.917209
GBRTENW,1928,72,20.98157
GBRTENW,1928,73,20.056577
GBRTENW,1928,74,19.138427
GBRTENW,1928,75,18.230722
GBRTENW,1928,76,17.328889
GBRTENW,1928,77,16.435786
GBRTENW,1928,78,15.554886
GBRTENW,1928,79,14.68663
GBRTENW,1928,80,13.828318
GBRTENW,1928,81,12.973186
GBRTENW,1928,82,12.12839
GBRTENW,1928,83,11.30724
GBRTENW,1928,84,10.493239
GBRTENW,1928,85,9.708378
GBRTENW,1928,86,8.935066
GBRTENW,1928,87,8.18631
GBRTENW,1928,88,7.460884
GBRTENW,1928,89,6.740747
GBRTENW,1928,90,6.048947
GBRTENW,1928,91,5.374393
GBRTENW,1928,92,4.694768
GBRTENW,1928,93,4.075017
GBRTENW,1928,94,3.456331
GBRTENW,1928,95,2.886948
GBRTENW,1928,96,2.313165
GBRTENW,1928,97,1.826607
GBRTENW,1928,98,1.281511
GBRTENW,1928,99,0.749322
GBRTENW,1928,100,0.277386
GBRTENW,1929,0,90.967459
GBRTENW,1929,1,90.056652
GBRTENW,1929,2,89.081855
GBRTENW,1929,3,88.092242
GBRTENW,1929,4,87.098286
GBRTENW,1929,5,86.102666
GBRTENW,1929,6,85.10661
GBRTENW,1929,7,84.109506
GBRTENW,1929,8,83.111946
GBRTENW,1929,9,82.114052
GBRTENW,1929,10,81.116034
GBRTENW,1929,11,80.117667
GBRTENW,1929,12,79.11931
GBRTENW,1929,13,78.120844
GBRTENW,1929,14,77.122603
GBRTENW,1929,15,76.124659
GBRTENW,1929,16,75.126762
GBRTENW,1929,17,74.129248
GBRTENW,1929,18,73.132118
GBRTENW,1929,19,72.135167
GBRTENW,1929,20,71.138339
GBRTENW,1929,21,70.141991
GBRTENW,1929,22,69.145556
GBRTENW,1929,23,68.148919
GBRTENW,1929,24,67.152361
GBRTENW,1929,25,66.15591
GBRTENW,1929,26,65.159341
GBRTENW,1929,27,64.162904
GBRTENW,1929,28,63.166555
GBRTENW,1929,29,62.170147
GBRTENW,1929,30,61.173859
GBRTENW,1929,31,60.177697
GBRTENW,1929,32,59.181616
GBRTENW,1929,33,58.185966
GBRTENW,1929,34,57.190465
GBRTENW,1929,35,56.195276
GBRTENW,1929,36,55.20033
GBRTENW,1929,37,54.205767
GBRTENW,1929,38,53.21114
GBRTENW,1929,39,52.21701
GBRTENW,1929,40,51.223452
GBRTENW,1929,41,50.230275
GBRTENW,1929,42,49.237099
GBRTENW,1929,43,48.2458
GBRTENW,1929,44,47.254255
GBRTENW,1929,45,46.263436
GBRTENW,1929,46,45.272913
GBRTENW,1929,47,44.2827
GBRTENW,1929,48,43.292981
GBRTENW,1929,49,42.304439
GBRTENW,1929,50,41.316846
GBRTENW,1929,51,40.330588
GBRTENW,1929,52,39.343519
GBRTENW,1929,53,38.358844
GBRTENW,1929,54,37.375049
GBRTENW,1929,55,36.392767
GBRTENW,1929,56,35.410194
GBRTENW,1929,57,34.430361
GBRTENW,1929,58,33.450456
GBRTENW,1929,59,32.474084
GBRTENW,1929,60,31.500441
GBRTENW,1929,61,30.528897
GBRTENW,1929,62,29.556435
GBRTENW,1929,63,28.589125
GBRTENW,1929,64,27.624971
GBRTENW,1929,65,26.664465
GBRTENW,1929,66,25.71064
GBRTENW,1929,67,24.757083
GBRTENW,1929,68,23.805704
GBRTENW,1929,69,22.860956
GBRTENW,1929,70,21.925879
GBRTENW,1929,71,20.994967
GBRTENW,1929,72,20.066559
GBRTENW,1929,73,19.150954
GBRTENW,1929,74,18.245027
GBRTENW,1929,75,17.350021
GBRTENW,1929,76,16.463806
GBRTENW,1929,77,15.58634
GBRTENW,1929,78,14.718451
GBRTENW,1929,79,13.8737
GBRTENW,1929,80,13.038293
GBRTENW,1929,81,12.205155
GBRTENW,1929,82,11.38394
GBRTENW,1929,83,10.587333
GBRTENW,1929,84,9.804958
GBRTENW,1929,85,9.047321
GBRTENW,1929,86,8.312287
GBRTENW,1929,87,7.605949
GBRTENW,1929,88,6.902342
GBRTENW,1929,89,6.22835
GBRTENW,1929,90,5.562205
GBRTENW,1929,91,4.934603
GBRTENW,1929,92,4.283651
GBRTENW,1929,93,3.702162
GBRTENW,1929,94,3.093518
GBRTENW,1929,95,2.497982
GBRTENW,1929,96,1.970774
GBRTENW,1929,97,1.49142
GBRTENW,1929,98,0.967891
GBRTENW,1929,99,0.613938
GBRTENW,1929,100,0.245442
GBRTENW,1930,0,92.107172
GBRTENW,1930,1,91.183409
GBRTENW,1930,2,90.199093
GBRTENW,1930,3,89.205979
GBRTENW,1930,4,88.210475
GBRTENW,1930,5,87.214243
GBRTENW,1930,6,86.217707
GBRTENW,1930,7,85.220496
GBRTENW,1930,8,84.22273
GBRTENW,1930,9,83.224688
GBRTENW,1930,10,82.226512
GBRTENW,1930,11,81.228243
GBRTENW,1930,12,80.229638
GBRTENW,1930,13,79.231178
